Year,City,Event
2004,Athina,RowingDoubleSculls
1992,Barcelona,WeightliftingMiddleHeavyweight
1988,Seoul,Swimming4x100metresFreestyleRelay
1988,Seoul,Swimming4x200metresFreestyleRelay
1988,Seoul,Swimming100metresBackstroke
1988,Seoul,Swimming200metresBackstroke
1988,Seoul,Swimming200metresIndividualMedley
1988,Seoul,Swimming4x100metresMedleyRelay
1984,Los Angeles,Athletics100metres
1960,Roma,AthleticsPoleVault
1996,Atlanta,Swimming200metresIndividualMedley
1996,Atlanta,Swimming400metresIndividualMedley
2000,Sydney,Swimming400metresIndividualMedley
1992,Barcelona,BadmintonSingles
1996,Atlanta,BadmintonSingles
1968,Mexico City,BoxingLightMiddleweight
1972,Munich,BoxingMiddleweight
1988,Seoul,TennisSingles
2016,Rio de Janeiro,BoxingHeavyweight
1996,Atlanta,WrestlingBantamweightFreestyle
2000,Sydney,WrestlingFeatherweightFreestyle
1996,Atlanta,BoxingLightweight
2000,Sydney,BoxingLightWelterweight
2012,London,WrestlingSuperHeavyweightGrecoRoman
2016,Rio de Janeiro,WrestlingSuperHeavyweightGrecoRoman
1996,Atlanta,WrestlingFlyweightFreestyle
2000,Sydney,WrestlingBantamweightFreestyle
2012,London,Athletics5000metres
2008,Beijing,WrestlingMiddleweightGrecoRoman
1972,Munich,Swimming100metresFreestyle
2008,Beijing,WeightliftingLightHeavyweight
2012,London,WeightliftingHeavyweight
2012,London,FootballFootball
2012,London,SynchronizedSwimmingDuet
1980,Moskva,AthleticsDiscusThrow
1988,Seoul,Athletics110metresHurdles
1992,Barcelona,Athletics110metresHurdles
2008,Beijing,WeightliftingFeatherweight
2012,London,WeightliftingLightweight
2004,Athina,BoxingMiddleweight
2008,Beijing,TaekwondoFeatherweight
2012,London,TaekwondoWelterweight
2016,Rio de Janeiro,WrestlingMiddleweightFreestyle
2016,Rio de Janeiro,JudoHeavyweight
2008,Beijing,WrestlingLightHeavyweightFreestyle
2012,London,WrestlingLightHeavyweightFreestyle
1980,Moskva,CyclingSprint
1992,Barcelona,AthleticsHammerThrow
2000,Sydney,AthleticsHammerThrow
1988,Seoul,CyclingRoadRaceIndividual
1996,Atlanta,CyclingRoadRaceIndividual
2004,Athina,BoxingBantamweight
1936,Berlin,AthleticsHammerThrow
1972,Sapporo,BobsleighTwo
1972,Sapporo,BobsleighFour
1976,Innsbruck,BobsleighTwo
1976,Innsbruck,BobsleighFour
1960,Roma,WrestlingLightweightFreestyle
1988,Calgary,NordicCombinedTeam
1988,Calgary,NordicCombinedIndividual
1992,Albertville,NordicCombinedIndividual
1994,Lillehammer,NordicCombinedTeam
1994,Lillehammer,NordicCombinedIndividual
1968,Mexico City,AthleticsLongJump
1936,Berlin,RowingCoxedPairs
2000,Sydney,BaseballBaseball
2008,Beijing,BaseballBaseball
1984,Los Angeles,RowingCoxedFours
1988,Seoul,RowingCoxedEights
1992,Barcelona,RowingCoxedEights
