Year,Event,Gender
1988,Athletics4x400metresRelay,F
1992,Athletics800metres,F
1996,Athletics4x400metresRelay,F
1980,RowingCoxedQuadrupleSculls,F
2000,WrestlingMiddleweightGrecoRoman,M
2008,WrestlingLightHeavyweightGrecoRoman,M
1984,Athletics200metres,M
1976,Athletics100metres,M
1920,Athletics100metres,M
1920,Athletics200metres,M
1924,Athletics100metres,M
1924,Athletics200metres,M
1924,Athletics4x100metresRelay,M
1906,Athletics100metres,M
1906,AthleticsLongJump,M
1912,GymnasticsTeamAllAroundFreeSystem,M
1980,IceHockeyIceHockey,M
1984,IceHockeyIceHockey,M
1984,WeightliftingLightweight,M
1972,HandballHandball,M
1972,IceHockeyIceHockey,M
1960,FencingFoilIndividual,M
1960,FencingepeeIndividual,M
1960,FencingepeeTeam,M
1964,FencingepeeIndividual,M
1964,FencingepeeTeam,M
1928,IceHockeyIceHockey,M
2006,AlpineSkiingGiantSlalom,M
2006,AlpineSkiingSlalom,M
2010,AlpineSkiingSlalom,M
2014,AlpineSkiingGiantSlalom,M
2014,AlpineSkiingSlalom,M
2016,AthleticsShotPut,F
2014,FreestyleSkiingAerials,M
2010,Biathlon10kilometresSprint,M
2010,Biathlon125kilometresPursuit,M
2010,Biathlon20kilometres,M
2010,Biathlon4x75kilometresRelay,M
2014,Biathlon10kilometresSprint,M
2014,BiathlonMixed2x6kilometresand2x75kilometresRelay,X
2014,Biathlon125kilometresPursuit,M
2014,Biathlon20kilometres,M
2014,Biathlon4x75kilometresRelay,M
1996,RhythmicGymnasticsIndividual,F
1996,CanoeingKayakSinglesSlalom,M
1998,AlpineSkiingSlalom,M
1960,BoxingHeavyweight,M
2008,ArcheryIndividual,M
2008,ArcheryTeam,M
2004,VolleyballVolleyball,M
1994,IceHockeyIceHockey,M
1988,Swimming4x100metresFreestyleRelay,F
1964,VolleyballVolleyball,F
2006,SpeedSkating1000metres,F
2006,SpeedSkating1500metres,F
2006,SpeedSkatingTeamPursuit6laps,F
2010,SpeedSkating1500metres,F
2006,CrossCountrySkiingSprint,M
2006,CrossCountrySkiing15kilometres,M
2010,BobsleighTwo,M
2010,BobsleighFour,M
2016,Athletics400metres,F
1988,CyclingSprint,M
2016,AthleticsShotPut,M
1988,Athletics4x400metresRelay,M
1996,Athletics800metres,M
2008,Athletics200metres,M
2012,Athletics200metres,M
1994,FigureSkatingSingles,F
1992,SpeedSkating500metres,M
1992,SpeedSkating1000metres,M
1998,SpeedSkating500metres,M
1998,SpeedSkating1000metres,M
2002,SpeedSkating500metres,M
2002,SpeedSkating1000metres,M
2016,TrampoliningIndividual,M
1976,WrestlingFlyweightFreestyle,M
1968,GymnasticsIndividualAllAround,M
1968,GymnasticsFloorExercise,M
