Athlete_ID,NOC
1598,Japan
1599,Japan
1600,Japan
1601,Japan
1602,Japan
1603,Japan
1604,Japan
1605,Japan
1606,Japan
1607,Japan
1608,Japan
1609,Japan
1610,Japan
1611,Japan
1612,Japan
1613,Japan
1614,Japan
1615,Japan
1616,Japan
1617,Japan
1618,Japan
1619,Japan
1620,Japan
1621,Japan
1622,Japan
1623,Japan
1624,Colombia
1625,Colombia
1626,Colombia
1627,Colombia
1628,Colombia
1629,Costa Rica
1630,Costa Rica
1631,Costa Rica
1632,Croatia
1633,Cuba
1634,Cuba
1635,Cuba
1636,Cuba
1637,Cuba
1638,Cuba
1639,Cuba
1640,Cuba
1641,Cuba
1642,Cuba
1643,Cuba
1644,Cuba
1645,Cuba
1646,Cuba
1647,Cuba
1648,Cuba
1649,Cuba
1650,Cuba
1651,Cuba
1652,Cuba
1653,Cuba
1654,Cuba
1655,Cuba
1656,Cuba
1657,Cuba
1658,Cuba
1659,Cuba
1660,Cuba
1661,Cuba
1662,Cuba
1663,Cuba
1664,Cuba
1665,Cuba
1666,Cuba
1667,Cuba
1668,Cuba
1669,Cuba
1670,Cuba
1671,Cuba
1672,Cuba
1673,Cuba
1674,Cuba
1675,Cuba
1676,Cuba
1677,Cuba
1678,Cuba
1679,Cuba
1680,Cuba
1681,Cuba
1682,Cuba
1683,Cuba
1684,Cuba
1685,Cuba
1686,Cuba
1687,Czechia
1688,Czechia
1689,Czechia
1690,Czechia
1691,Benin
1692,Benin
1693,Denmark
1694,Denmark
1695,Denmark
1696,Denmark
1697,Denmark
1698,Denmark
1699,Denmark
1700,Denmark
1701,Denmark
1702,Denmark
1703,Denmark
1704,Denmark
1705,Denmark
1706,Denmark
1707,Denmark
1708,Denmark
1709,Denmark
1710,Denmark
1711,Denmark
1712,Denmark
1713,Denmark
1714,Denmark
1715,Denmark
1716,Denmark
1717,Denmark
1718,Denmark
1719,Denmark
1720,Denmark
1721,Denmark
1722,Denmark
1723,Denmark
1724,Denmark
1725,Denmark
1726,Denmark
1727,Denmark
1728,Denmark
1729,Denmark
1730,Denmark
1731,Denmark
1732,Denmark
1733,Denmark
1734,Denmark
1735,Denmark
1736,Denmark
1737,Denmark
1738,Denmark
1739,Denmark
1740,Denmark
1741,Denmark
1742,Denmark
1743,Denmark
1744,Denmark
1745,Denmark
1746,Denmark
1747,Denmark
1748,Denmark
1749,Denmark
1750,Denmark
1751,Denmark
1752,Denmark
1753,Denmark
1754,Denmark
1755,Denmark
1756,Denmark
1757,Denmark
1758,Denmark
1759,Denmark
1760,Denmark
1761,Denmark
1762,Denmark
1763,Denmark
1764,Denmark
1765,Denmark
1766,Denmark
1767,Denmark
1768,Denmark
1769,Denmark
1770,Dominican Republic
1771,Dominican Republic
1772,Dominican Republic
1773,Dominican Republic
1774,Dominican Republic
1775,Dominican Republic
1776,Dominican Republic
1777,Dominican Republic
1778,Dominican Republic
1779,Dominican Republic
1780,Dominican Republic
1781,Dominican Republic
1782,Dominican Republic
1783,Dominican Republic
1784,Dominican Republic
1785,Dominican Republic
1786,Dominican Republic
1787,Dominican Republic
1788,Dominican Republic
1789,Dominican Republic
1790,Dominican Republic
1791,Dominican Republic
1792,Dominican Republic
1793,Dominican Republic
1794,Dominican Republic
1795,Dominican Republic
